client_id,cin,nom,prenom,age,ville,profession,revenu_mensuel,date_creation,statut_kyc
1,95822412,Marie,André,22,Sfax,Ouvrier,1066,2023-06-27,OK
2,42868828,Hubert,Guillaume,29,Ariana,Commerçant,2296,2022-01-07,RISQUE
3,83197857,Fernandez,Jeanne,58,Bizerte,Ouvrier,1086,2024-09-25,OK
4,14265799,Martinez,Éric,26,Sousse,Etudiant,376,2023-01-03,OK
5,41227216,Bodin,Josette,56,Sousse,Etudiant,230,2021-05-16,RISQUE
6,85329037,Philippe,Michelle,35,Monastir,Indépendant,2736,2025-10-13,RISQUE
7,66306997,Vasseur,Caroline,21,Ben Arous,Fonctionnaire,2597,2023-07-07,RISQUE
8,10872248,Thierry,Susan,42,Sfax,Indépendant,3437,2022-07-04,OK
9,66722344,Leblanc,Roger,69,Nabeul,Commerçant,2170,2022-06-21,OK
10,38898923,Ledoux,Yves,45,Ariana,Ouvrier,1072,2022-01-06,A_VERIFIER
11,22448136,Gillet,Étienne,59,Sfax,Cadre,3979,2024-03-14,OK
12,56164955,Texier,Rémy,55,Ariana,Retraité,1402,2021-07-07,A_VERIFIER
13,71662963,Regnier,Gérard,56,Sfax,Ouvrier,1032,2024-05-14,RISQUE
14,20576383,Courtois,Théodore,57,Sousse,Cadre,3133,2024-03-22,RISQUE
15,87490893,Olivier,Maryse,23,Sousse,Ouvrier,770,2021-09-27,A_VERIFIER
16,16150444,Peltier,Michel,35,Ariana,Ouvrier,925,2023-08-11,A_VERIFIER
17,20709497,Rey,Eugène,50,Nabeul,Fonctionnaire,1863,2024-05-19,OK
18,47308985,De Sousa,Luce,43,Sousse,Cadre,4433,2024-04-01,RISQUE
19,31831063,Lemaître,Adrienne,65,Ariana,Fonctionnaire,1892,2022-12-05,RISQUE
20,99949389,Da Costa,Martine,55,Sousse,Employé,1244,2021-10-02,OK
21,91756179,Bousquet,Jean,45,Sfax,Retraité,2014,2025-09-09,RISQUE
22,42857966,Goncalves,Célina,64,Nabeul,Commerçant,2263,2024-05-16,OK
23,46231783,Riou,Marie,23,Nabeul,Commerçant,2375,2025-11-19,A_VERIFIER
24,39476249,Pottier,Victor,25,Sousse,Fonctionnaire,1746,2021-08-15,RISQUE
25,40742311,David,Susan,34,Monastir,Cadre,3932,2023-10-31,A_VERIFIER
26,63843426,Royer,Christophe,30,Sfax,Retraité,1585,2022-12-10,OK
27,86125617,Wagner,Thomas,68,Kairouan,Commerçant,1908,2022-12-15,RISQUE
28,97971488,Didier,Anastasie,68,Gabès,Fonctionnaire,2256,2025-01-18,A_VERIFIER
29,29175900,Aubry,Guillaume,44,Sousse,Indépendant,2479,2023-03-31,OK
30,85345555,Tanguy,Rémy,26,Tunis,Retraité,1457,2026-02-13,OK
31,67503414,Guillon,Andrée,61,Ben Arous,Employé,1419,2024-03-23,RISQUE
32,39436733,Dos Santos,Danielle,59,Ariana,Indépendant,4196,2025-05-06,A_VERIFIER
33,22201654,Faivre,Benoît,59,Monastir,Indépendant,2890,2022-01-29,RISQUE
34,30514014,Techer,Hugues,56,Tunis,Fonctionnaire,1850,2024-09-26,RISQUE
35,90048665,Andre,Alice,64,Kairouan,Ouvrier,1109,2024-05-23,A_VERIFIER
36,89978790,Bigot,Éléonore,28,Sfax,Cadre,3537,2023-04-15,A_VERIFIER
37,84252722,Dubois,Maggie,50,Tunis,Employé,1595,2022-02-13,RISQUE
38,82070937,Hamel,René,53,Ben Arous,Fonctionnaire,1594,2024-01-15,RISQUE
39,24972279,Cousin,Bernadette,61,Sfax,Ouvrier,822,2022-06-29,RISQUE
40,70897765,Bernard,Michelle,30,Nabeul,Commerçant,2425,2023-05-22,OK
41,77187530,Ledoux,Joseph,59,Nabeul,Etudiant,311,2025-06-19,A_VERIFIER
42,24282218,Toussaint,Théophile,28,Nabeul,Etudiant,264,2025-06-19,A_VERIFIER
43,91734598,Philippe,Honoré,24,Sousse,Commerçant,2305,2024-04-29,RISQUE
44,31682744,Gimenez,Renée,26,Monastir,Ouvrier,959,2025-08-28,OK
45,10076758,Joseph,Tristan,29,Monastir,Employé,1229,2025-04-21,RISQUE
46,12614124,Marie,Agnès,37,Kairouan,Employé,1394,2023-10-06,RISQUE
47,42138745,Boyer,Olivier,34,Kairouan,Indépendant,2577,2025-12-21,RISQUE
48,20570592,Clément,Nath,66,Sfax,Commerçant,2755,2025-04-12,A_VERIFIER
49,19289546,Samson,Élisabeth,49,Kairouan,Cadre,4450,2022-03-20,A_VERIFIER
50,27232410,Delmas,Christelle,36,Sousse,Ouvrier,764,2025-10-28,OK
51,32162965,Aubry,Éléonore,22,Gabès,Cadre,4439,2024-09-29,RISQUE
52,38427073,Gimenez,Olivie,58,Sousse,Commerçant,2202,2022-11-09,OK
53,51837852,Alexandre,Marguerite,66,Tunis,Ouvrier,909,2024-04-28,OK
54,68800797,Blondel,Catherine,23,Nabeul,Ouvrier,1081,2022-03-05,OK
55,43273328,Jean,Christophe,38,Monastir,Commerçant,2745,2024-01-09,OK
